code,location,start_date,end_date,no2,period
143-29,Borsbeekstraat Noord,2021-05-21 18:35:00+02:00,2021-06-19 08:33:00+02:00,17,6
143-30,Borsbeekstraat Noord,2021-05-21 18:35:00+02:00,2021-06-19 08:33:00+02:00,25,6
143-31,Klappeistraat,2021-05-21 18:58:00+02:00,2021-06-19 08:55:00+02:00,17,6
143-32,Klappeistraat,2021-05-21 18:58:00+02:00,2021-06-19 08:55:00+02:00,17,6
143-33,Gijselstraat,2021-05-21 18:39:00+02:00,2021-06-19 08:39:00+02:00,25,6
143-34,Gijselstraat,2021-05-21 18:39:00+02:00,2021-06-19 08:39:00+02:00,25,6
143-35,Sint-Bernardsesteenweg,2021-05-21 21:22:00+02:00,2021-06-18 22:05:00+02:00,24,6
143-36,Sint-Bernardsesteenweg,2021-05-21 21:22:00+02:00,2021-06-18 22:05:00+02:00,20,6
143-37,Abdijstraat,2021-05-21 21:26:00+02:00,2021-06-18 21:59:00+02:00,32,6
143-38,Abdijstraat,2021-05-21 21:26:00+02:00,2021-06-18 21:59:00+02:00,33,6
143-39,Nationalestraat Zuid,2021-05-21 11:05:00+02:00,2021-06-18 17:30:00+02:00,36,6
143-40,Nationalestraat Zuid,2021-05-21 11:05:00+02:00,2021-06-18 17:31:00+02:00,35,6
143-41,Nationalestraat Noord,2021-05-21 11:13:00+02:00,2021-06-18 17:36:00+02:00,27,6
143-42,Nationalestraat Noord,2021-05-21 11:13:00+02:00,2021-06-18 17:37:00+02:00,29,6
143-43,Cassiersstraat Oost,2021-05-21 12:01:00+02:00,2021-06-18 12:05:00+02:00,25,6
143-44,Cassiersstraat Oost,2021-05-21 12:01:00+02:00,2021-06-18 12:05:00+02:00,26,6
143-45,Cassiersstraat West,2021-05-21 12:05:00+02:00,2021-06-18 12:10:00+02:00,22,6
143-46,Cassiersstraat West,2021-05-21 12:05:00+02:00,2021-06-18 12:10:00+02:00,38,6
143-47,VMM Groenenborger,2021-05-22 10:32:00+02:00,2021-06-20 18:34:00+02:00,15,6
143-48,VMM Groenenborger,2021-05-22 10:32:00+02:00,2021-06-20 18:34:00+02:00,14,6
143-49,Deurnsebaan Zuid,2021-05-23 12:50:00+02:00,2021-06-18 11:22:00+02:00,36,6
143-50,Deurnsebaan Zuid,2021-05-23 12:50:00+02:00,2021-06-18 11:22:00+02:00,43,6
142-49,Deurnsebaan Noord,2021-05-23 12:48:00+02:00,2021-06-18 11:11:00+02:00,41,6
142-50,Deurnsebaan Noord,2021-05-23 12:48:00+02:00,2021-06-18 11:11:00+02:00,29,6
144-1,Deurnsebaan Noord,2021-06-18 11:11:00+02:00,2021-07-17 11:28:00+02:00,38,7
144-2,Deurnsebaan Noord,2021-06-18 11:11:00+02:00,2021-07-17 11:28:00+02:00,38,7
144-3,Deurnsebaan Zuid,2021-06-18 11:22:00+02:00,2021-07-17 11:26:00+02:00,39,7
144-4,Deurnsebaan Zuid,2021-06-18 11:22:00+02:00,2021-07-17 11:26:00+02:00,39,7
144-5,Van de Perre Zuid,2021-06-18 15:53:00+02:00,2021-07-16 15:24:00+02:00,29,7
144-6,Van de Perre Zuid,2021-06-18 15:51:00+02:00,2021-07-16 15:25:00+02:00,30,7
144-7,Van de Perre Noord,2021-06-18 16:01:00+02:00,2021-07-16 15:30:00+02:00,34,7
144-8,Van de Perre Noord,2021-06-18 16:03:00+02:00,2021-07-16 15:31:00+02:00,35,7
144-9,Turnhoutsebaan BO West,2021-06-20 07:49:00+02:00,2021-07-17 16:22:00+02:00,31,7
144-10,Turnhoutsebaan BO West,2021-06-20 07:49:00+02:00,2021-07-17 16:22:00+02:00,32,7
144-11,Turnhoutsebaan BO Oost,2021-06-20 07:55:00+02:00,2021-07-17 16:31:00+02:00,30,7
144-12,Turnhoutsebaan BO Oost,2021-06-20 07:55:00+02:00,2021-07-17 16:31:00+02:00,33,7
144-13,Turnhoutsebaan DE West,2021-06-19 20:30:00+02:00,2021-07-17 14:40:00+02:00,27,7
144-14,Turnhoutsebaan DE West,2021-06-19 20:30:00+02:00,2021-07-17 14:40:00+02:00,29,7
